code;name;category;id;volume;price;cap;volume_2012_1;price_2012_1;cap_2012_1;volume_2012_2;price_2012_2;cap_2012_2;volume_2012_3;price_2012_3;cap_2012_3;volume_2012_4;price_2012_4;cap_2012_4;volume_2013_1;price_2013_1;cap_2013_1;volume_2013_2;price_2013_2;cap_2013_2;volume_2013_3;price_2013_3;cap_2013_3;volume_2013_4;price_2013_4;cap_2013_4;volume_2014_1;price_2014_1;cap_2014_1;volume_2014_2;price_2014_2;cap_2014_2;volume_2014_3;price_2014_3;cap_2014_3;volume_2014_4;price_2014_4;cap_2014_4;volume_2015_1;price_2015_1;cap_2015_1;volume_2015_2;price_2015_2;cap_2015_2;volume_2015_3;price_2015_3;cap_2015_3;volume_2015_4;price_2015_4;cap_2015_4;volume_2016_1;price_2016_1;cap_2016_1;volume_2016_2;price_2016_2;cap_2016_2;volume_2016_3;price_2016_3;cap_2016_3;volume_2016_4;price_2016_4;cap_2016_4;volume_2017_1;price_2017_1;cap_2017_1;volume_2017_2;price_2017_2;cap_2017_2;volume_2017_3;price_2017_3;cap_2017_3;volume_2017_4;price_2017_4;cap_2017_4;volume_2018_1;price_2018_1;cap_2018_1;volume_2018_2;price_2018_2;cap_2018_2;volume_2018_3;price_2018_3;cap_2018_3;volume_2018_4;price_2018_4;cap_2018_4;volume_2019_1;price_2019_1;cap_2019_1;volume_2019_2;price_2019_2;cap_2019_2;volume_2019_3;price_2019_3;cap_2019_3;volume_2019_4;price_2019_4;cap_2019_4;volume_2020_1;price_2020_1;cap_2020_1;volume_2020_2;price_2020_2;cap_2020_2;volume_2020_3;price_2020_3;cap_2020_3;volume_2020_4;price_2020_4;cap_2020_4
ABBN;"АО ""Банк Астаны""";aо;KZ1C00001023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36081627,0;228,44;8242486871,88;36081627,0;206,3;7443639650,1;36081627,0;163,1;5884913363,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABRD;"ПАО ""Абрау – Дюрсо""";aо;1-02-12500-A;;;;;;;735000,0;5850,0;4299750000,0;;;;73500000,0;75,06;5516910000,0;73500000,0;81,14;5963790000,0;73500000,0;83,58;6143130000,0;73500000,0;82,31;6049785000,0;73500000,0;101,47;7458045000,0;73500000,0;126,09;9267615000,0;73500000,0;136,99;10068765000,0;73500000,0;115,59;8495865000,0;73500000,0;95,5;7019250000,0;73500000,0;99,0;7276500000,0;73500000,0;89,5;6578250000,0;73500000,0;103,0;7570500000,0;73500000,0;97,5;7166250000,0;73500000,0;84,0;6174000000,0;73500000,0;82,0;6027000000,0;73500000,0;91,5;6725250000,0;98000184,0;98,5;9653018124,0;98000184,0;142,5;13965026220,0;98000184,0;190,0;18620034960,0;98000184,0;170,5;16709031372,0;98000184,0;153,5;15043028244,0;98000184,0;147,5;14455027140,0;98000184,0;147,5;14455027140,0;98000184,0;140,0;13720025760,0;98000184,0;140,0;13720025760,0;98000184,0;137,0;13426025208,0;98000184,0;138,5;13573025484,0;98000184,0;135,5;13279024932,0;98000184,0;138,5;13573025484,0;98000184,0;133,5;13083024564,0;98000184,0;130,0;12740023920,0;98000184,0;194,0;19012035696,0;98000184,0;200,5;19649036892,0
ACKO;"ПАО ""АСКО-СТРАХОВАНИЕ""";aо;1-01-52065-Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;526000000,0;8,253;4341078000,0;526000000,0;6,52;3429520000,0;526000000,0;12,13;6380380000,0;526000000,0;11,12;5849120000,0;536000000,0;7,94;4255840000,0;536000000,0;6,7;3591200000,0;536000000,0;6,92;3709120000,0;536000000,0;5,64;3023040000,0;536000000,0;5,04;2701440000,0;536000000,0;4,38;2347680000,0;536000000,0;3,94;2111840000,0;536000000,0;4,98;2669280000,0;536000000,0;5,0;2680000000,0;536000000,0;5,86;3140960000,0
AESL;"ПАО ""ТПГ АЭССЕЛЬ""";aо;1-01-14863-A;;;;;;;;;;;;;;;;;;;;;;;;;10000000,0;91,0;910000000,0;10000000,0;102,12;1021200000,0;10000000,0;108,72;1087200000,0;10000000,0;112,64;1126400000,0;10000000,0;112,0;1120000000,0;10000000,0;109,5;1095000000,0;10000000,0;84,5;845000000,0;10000000,0;92,5;925000000,0;10000000,0;87,5;875000000,0;10000000,0;88,0;880000000,0;10000000,0;;;10000000,0;;;10000000,0;58,5;585000000,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFKS;"ПАО АФК ""Система""";aо;1-05-01669-A;9650000000,0;23,307;224912550000,0;9650000000,0;26,002;250919300000,0;9650000000,0;24,514;236560100000,0;9650000000,0;24,768;239011200000,0;9650000000,0;25,461;245698650000,0;9650000000,0;25,438;245476700000,0;9650000000,0;28,716;277109400000,0;9650000000,0;34,287;330869550000,0;9650000000,0;45,545;439509250000,0;9650000000,0;35,437;341967050000,0;9650000000,0;45,776;441738400000,0;9650000000,0;12,934;124813100000,0;9650000000,0;11,17;107790500000,0;9650000000,0;17,58;169647000000,0;9650000000,0;19,82;191263000000,0;9650000000,0;18,23;175919500000,0;9650000000,0;17,635;170177750000,0;9650000000,0;17,6;169840000000,0;9650000000,0;20,645;199224250000,0;9650000000,0;20,25;195412500000,0;9650000000,0;23,125;223156250000,0;9650000000,0;22,705;219103250000,0;9650000000,0;12,135;117102750000,0;9650000000,0;13,355;128875750000,0;9650000000,0;12,17;117440500000,0;9650000000,0;11,79;113773500000,0;9650000000,0;8,81;85016500000,0;9650000000,0;8,685;83810250000,0;9650000000,0;7,99;77103500000,0;9650000000,0;9,561;92263650000,0;9650000000,0;9,893;95467450000,0;9650000000,0;12,78;123327000000,0;9650000000,0;15,246;147123900000,0;9650000000,0;12,889;124378850000,0;9650000000,0;17,309;167031850000,0;9650000000,0;21,202;204599300000,0;9650000000,0;28,874;278634100000,0
AFLT;"ПАО ""Аэрофлот-российские авиалинии""";aо;1-01-00010-A;1110616299,0;50,29;55852893676,71;1110616299,0;47,22;52443301638,78;1110616299,0;43,38;48178535050,62;1110616299,0;43,43;48234065865,57;1110616299,0;45,33;50344236833,67;1110616299,0;53,45;59362441181,55;1110616299,0;56,4;62638759263,6;1110616299,0;54,27;60273146546,73;1110616299,0;84,07;93369512256,93;1110616299,0;54,74;60795136207,26;1110616299,0;56,03;62227831232,97;1110616299,0;43,41;48211853539,59;1110616299,0;31,81;35328704471,19;1110616299,0;33,99;37749848003,01;1110616299,0;38,07;42281162502,93;1110616299,0;35,28;39182543028,72;1110616299,0;56,1;62305574373,9;1110616299,0;73,87;82041226007,13;1110616299,0;84,8;94180262155,2;1110616299,0;117,55;130552945947,45;1110616299,0;152,96;169879869095,04;1110616299,0;169,25;187971808605,75;1110616299,0;194,0;215459562006,0;1110616299,0;181,8;201910043158,2;1110616299,0;139,1;154486727190,9;1110616299,0;155,2;172367649604,8;1110616299,0;140,25;155763935934,75;1110616299,0;106,35;118114043398,65;1110616299,0;101,08;112261095502,92;1110616299,0;96,52;107196685179,48;1110616299,0;101,64;112883040630,36;1110616299,0;103,38;114815512990,62;1110616299,0;103,88;115370821140,12;1110616299,0;68,06;75588545309,94;1110616299,0;82,12;91203810473,88;1110616299,0;74,2;82407729385,8;2444535448,0;71,42;174588721696,16
AGRE;"ОАО ""АГАВА-Ресурс""";aо;1-01-14074-A;64572204172,0;;;64572204172,0;;;64572204172,0;;;64572204172,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AKHA;"ОАО ""ПАВА""";aо;1-02-10682-F;88421053,0;9,07;801978950,71;88421053,0;9,051;800298950,7;88421053,0;8,594;759890529,48;88421053,0;8,095;715768424,04;88421053,0;6,552;579334739,26;88421053,0;5,554;491090528,36;88421053,0;4,027;356071580,43;88421053,0;3,676;325035790,83;88421053,0;3,22;284715790,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AKRN;"ПАО ""Акрон""";aо;1-03-00207-A;47687600,0;1327,1;63286213960,0;47687600,0;1229,2;58617597920,0;40534000,0;1147,5;46512765000,0;40534000,0;1396,6;56609784400,0;40534000,0;1401,0;56788134000,0;40534000,0;1325,8;53739977200,0;40534000,0;1243,0;50383762000,0;40534000,0;1004,1;40700189400,0;40534000,0;1120,1;45402133400,0;40534000,0;1043,8;42309389200,0;40534000,0;1232,5;49958155000,0;40534000,0;1243,7;50412135800,0;40534000,0;1850,0;74987900000,0;40534000,0;2224,0;90147616000,0;40534000,0;2240,0;90796160000,0;40534000,0;3061,0;124074574000,0;40534000,0;3749,0;151961966000,0;40534000,0;3695,0;149773130000,0;40534000,0;3505,0;142071670000,0;40534000,0;3390,0;137410260000,0;40534000,0;3565,0;144503710000,0;40534000,0;3270,0;132546180000,0;40534000,0;3119,0;126425546000,0;40534000,0;3412,0;138302008000,0;40534000,0;3886,0;157515124000,0;40534000,0;4167,0;168905178000,0;40534000,0;4353,0;176444502000,0;40534000,0;4683,0;189820722000,0;40534000,0;4668,0;189212712000,0;40534000,0;4504,0;182565136000,0;40534000,0;4560,0;184835040000,0;40534000,0;5006,0;202913204000,0;40534000,0;4812,0;195049608000,0;40534000,0;6006,0;243447204000,0;40534000,0;5540,0;224558360000,0;40534000,0;6320,0;256174880000,0;40534000,0;5964,0;241744776000,0
ALBK;"ПАО ""Бест Эффортс Банк""";aо;10400435B;;;;;;;56490000,0;20,001;1129856490,0;56490000,0;20,005;1130082450,0;56490000,0;21,543;1216964070,0;56490000,0;20,217;1142058330,0;56490000,0;20,171;1139459790,0;56490000,0;20,145;1137991050,0;56490000,0;20,867;1178776830,0;56490000,0;20,9;1180641000,0;56490000,0;21,154;1194989460,0;56490000,0;21,253;1200581970,0;56490000,0;;;56490000,0;20,7;1169343000,0;56490000,0;20,2;1141098000,0;56490000,0;20,2;1141098000,0;56490000,0;;;56490000,0;;;56490000,0;;;56490000,0;;;56490000,0;33,8;1909362000,0;56490000,0;34,1;1926309000,0;56490000,0;;;56490000,0;;;56490000,0;107,8;6089622000,0;56490000,0;225,8;12755442000,0;56490000,0;70,5;3982545000,0;56490000,0;47,5;2683275000,0;56490000,0;80,0;4519200000,0;56490000,0;92,0;5197080000,0;56490000,0;65,0;3671850000,0;56490000,0;98,0;5536020000,0;56490000,0;62,0;3502380000,0;56490000,0;50,0;2824500000,0;56490000,0;53,5;3022215000,0;56490000,0;58,5;3304665000,0;56490000,0;56,5;3191685000,0
